dataset_id,protocol_id,n_sub,replicate_id,classifier_id,fold_id,auc
synthetic_pilot,cv5,50,1,logreg,1,0.6875
synthetic_pilot,cv5,50,1,logreg,2,0.6875
synthetic_pilot,cv5,50,1,logreg,3,0.875
synthetic_pilot,cv5,50,1,logreg,4,0.8125
synthetic_pilot,cv5,50,1,logreg,5,1.0
synthetic_pilot,cv5,50,1,knn,1,0.6875
synthetic_pilot,cv5,50,1,knn,2,0.65625
synthetic_pilot,cv5,50,1,knn,3,0.875
synthetic_pilot,cv5,50,1,knn,4,0.8125
synthetic_pilot,cv5,50,1,knn,5,1.0
synthetic_pilot,cv5,50,1,dtree,1,0.3125
synthetic_pilot,cv5,50,1,dtree,2,0.5
synthetic_pilot,cv5,50,1,dtree,3,0.4375
synthetic_pilot,cv5,50,1,dtree,4,0.4375
synthetic_pilot,cv5,50,1,dtree,5,1.0
synthetic_pilot,cv5,50,1,svm,1,0.5
synthetic_pilot,cv5,50,1,svm,2,0.5
synthetic_pilot,cv5,50,1,svm,3,0.8125
synthetic_pilot,cv5,50,1,svm,4,0.5
synthetic_pilot,cv5,50,1,svm,5,0.0
synthetic_pilot,cv5,50,1,rf,1,0.5625
synthetic_pilot,cv5,50,1,rf,2,0.75
synthetic_pilot,cv5,50,1,rf,3,0.75
synthetic_pilot,cv5,50,1,rf,4,0.875
synthetic_pilot,cv5,50,1,rf,5,0.8125
synthetic_pilot,cv5,50,1,gb,1,0.625
synthetic_pilot,cv5,50,1,gb,2,0.78125
synthetic_pilot,cv5,50,1,gb,3,0.59375
synthetic_pilot,cv5,50,1,gb,4,0.9375
synthetic_pilot,cv5,50,1,gb,5,1.0
synthetic_pilot,cv5,50,2,logreg,1,0.8125
synthetic_pilot,cv5,50,2,logreg,2,0.75
synthetic_pilot,cv5,50,2,logreg,3,0.6875
synthetic_pilot,cv5,50,2,logreg,4,0.875
synthetic_pilot,cv5,50,2,logreg,5,0.6875
synthetic_pilot,cv5,50,2,knn,1,0.6875
synthetic_pilot,cv5,50,2,knn,2,0.4375
synthetic_pilot,cv5,50,2,knn,3,0.5625
synthetic_pilot,cv5,50,2,knn,4,0.53125
synthetic_pilot,cv5,50,2,knn,5,0.625
synthetic_pilot,cv5,50,2,dtree,1,0.8125
synthetic_pilot,cv5,50,2,dtree,2,0.625
synthetic_pilot,cv5,50,2,dtree,3,0.5625
synthetic_pilot,cv5,50,2,dtree,4,0.6875
