n_sub,classifier_id,mean_auc,sd_across_reps,min_auc,max_auc,times_top
50,logreg,0.6945,0.1130,0.4375,0.9500,38
50,knn,0.6292,0.1127,0.3750,0.8625,11
50,dtree,0.5619,0.0925,0.3625,0.7875,4
50,svm,0.5990,0.1867,0.2000,0.9625,18
50,rf,0.6580,0.1352,0.2437,0.9563,19
50,gb,0.6172,0.1358,0.2750,0.9125,13
100,logreg,0.7270,0.0893,0.4437,0.9094,36
100,knn,0.6584,0.0793,0.4141,0.8141,2
100,dtree,0.5942,0.0746,0.4297,0.8000,4
100,svm,0.7129,0.1092,0.3656,0.8812,30
100,rf,0.7052,0.0817,0.4172,0.8656,24
100,gb,0.6850,0.0907,0.4156,0.8531,8
200,logreg,0.7524,0.0586,0.6086,0.8844,33
200,knn,0.6695,0.0635,0.5070,0.8207,1
200,dtree,0.5881,0.0615,0.4520,0.7320,0
200,svm,0.7571,0.0585,0.4867,0.8742,49
200,rf,0.7268,0.0530,0.5934,0.8398,13
200,gb,0.7127,0.0598,0.5453,0.8344,5
500,logreg,0.7777,0.0280,0.6970,0.8467,38
500,knn,0.6914,0.0397,0.5831,0.7791,0
500,dtree,0.6290,0.0372,0.5547,0.7174,0
500,svm,0.7854,0.0340,0.6966,0.8681,55
500,rf,0.7580,0.0339,0.6562,0.8439,1
500,gb,0.7612,0.0369,0.6411,0.8635,6
